dst_probe_id,msm_id_v4,msm_id_v6
6147,10123602,10123603
11150,10123604,10123605
33025,10123606,10123607
29193,10123608,10123609
31242,10123610,10123611
30507,10123612,10123613
31643,10123614,10123615
19202,10123616,10123617
16623,10123618,10123619
19473,10123620,10123621
6163,10123622,10123623
6165,10123624,10123625
31254,10123626,10123627
6167,10123628,10123629
539,10123630,10123631
6172,10123632,10123633
3418,10123634,10123635
23068,10123636,10123637
18975,10123638,10123639
6177,10123640,10123641
6178,10123642,10123643
6180,10123644,10123645
2598,10123646,10123647
6183,10123648,10123649
555,10123650,10123651
6173,10123652,10123653
20015,10123654,10123655
32816,10123656,10123657
19710,10123658,10123659
24114,10123660,10123661
3635,10123662,10123663
6196,10123664,10123665
15414,10123666,10123667
9,10123668,10123669
57,10123670,10123671
1082,10123672,10123673
21052,10123674,10123675
6207,10123676,10123677
2626,10123678,10123679
6211,10123680,10123681
2116,10123682,10123683
25953,10123684,10123685
6220,10123686,10123687
12877,10123688,10123689
31823,10123690,10123691
6224,10123692,10123693
4963,10123694,10123695
6228,10123696,10123697
28761,10123698,10123699
32858,10123700,10123701
92,10123702,10123703
6074,10123704,10123705
2143,10123706,10123707
17508,10123708,10123709
2149,10123710,10123711
6161,10123712,10123713
617,10123714,10123715
6247,10123716,10123717
15535,10123718,10123719
6254,10123720,10123721
6256,10123722,10123723
30129,10123724,10123725
11378,10123726,10123727
4723,10123728,10123729
14966,10123730,10123731
21112,10123732,10123733
17529,10123734,10123735
6268,10123736,10123737
12413,10123738,10123739
6271,10123740,10123741
13443,10123742,10123743
20612,10123745,10123746
23685,10123747,10123748
13958,10123749,10123750
18567,10123751,10123752
6280,10123753,10123754
138,10123755,10123756
25367,10123757,10123758
6082,10123759,10123760
24209,10123761,10123762
6294,10123763,10123764
2713,10123765,10123766
6300,10123767,10123768
6301,10123769,10123770
158,10123771,10123772
6303,10123773,10123774
13984,10123775,10123776
17003,10123777,10123778
28,10123779,10123780
19313,10123781,10123782
19625,10123783,10123784
6314,10123785,10123786
6087,10123788,10123789
32429,10123790,10123791
23214,10123792,10123793
3247,10123794,10123795
2248,10123796,10123797
3253,10123798,10123799
26911,10123800,10123801
702,10123802,10123803
22207,10123804,10123805
12993,10123806,10123807
11458,10123808,10123809
18550,10123810,10123811
711,10123812,10123813
200,10123814,10123815
17609,10123816,10123817
2252,10123818,10123819
22735,10123820,10123821
19971,10123822,10123823
25208,10123824,10123825
3284,10123826,10123827
26837,10123828,10123829
12506,10123830,10123831
34012,10123832,10123833
10973,10123834,10123835
6115,10123836,10123837
2275,10123838,10123839
13028,10123840,10123841
6182,10123842,10123843
17643,10123844,10123845
4333,10123846,10123847
10478,10123848,10123849
125,10123850,10123851
18160,10123852,10123853
6139,10123854,10123855
754,10123856,10123857
2296,10123858,10123859
2260,10123860,10123861
12027,10123862,10123863
3324,10123864,10123865
28925,10123866,10123867
2302,10123868,10123869
15615,10123870,10123871
2305,10123872,10123873
10498,10123874,10123875
24107,10123876,10123877
10640,10123878,10123879
4697,10123880,10123881
19329,10123882,10123883
21260,10123884,10123885
30748,10123886,10123887
6104,10123888,10123889
725,10123890,10123891
6275,10123892,10123893
6105,10123894,10123895
21272,10123896,10123897
30492,10123898,10123899
25885,10123900,10123901
799,10123902,10123903
6192,10123904,10123905
22820,10123906,10123907
14629,10123908,10123909
31529,10123910,10123911
25386,10123912,10123913
21127,10123914,10123915
26925,10123916,10123917
32046,10123918,10123919
26879,10123920,10123921
11315,10123922,10123923
20277,10123924,10123925
823,10123926,10123927
19771,10123928,10123929
12093,10123930,10123931
14843,10123934,10123935
33601,10123936,10123937
15171,10123938,10123939
16710,10123940,10123941
31562,10123942,10123943
333,10123944,10123945
6302,10123946,10123947
2895,10123948,10123949
24915,10123950,10123951
16212,10123952,10123953
21333,10123954,10123955
10070,10123956,10123957
10074,10123958,10123959
20315,10123960,10123961
4958,10123962,10123963
4959,10123964,10123965
25441,10123966,10123967
32217,10123968,10123969
867,10123970,10123971
15209,10123972,10123973
15724,10123974,10123975
22893,10123976,10123977
18287,10123978,10123979
2928,10123980,10123981
10609,10123982,10123983
22899,10123984,10123985
10612,10123986,10123987
19320,10123988,10123989
4985,10123990,10123991
31103,10123992,10123993
4481,10123994,10123995
31621,10123996,10123997
422,10123998,10123999
13705,10124000,10124001
6030,10124002,10124003
3327,10124004,10124005
16784,10124006,10124007
15253,10124008,10124009
3479,10124010,10124011
6040,10124012,10124013
6043,10124014,10124015
6044,10124016,10124017
6045,10124018,10124019
926,10124020,10124021
6047,10124022,10124023
6049,10124024,10124025
6050,10124026,10124027
27043,10124028,10124029
14369,10124030,10124031
30630,10124032,10124033
15271,10124034,10124035
6056,10124036,10124037
21930,10124038,10124039
6060,10124040,10124041
6061,10124042,10124043
1457,10124044,10124045
1458,10124046,10124047
21513,10124048,10124049
11166,10124050,10124051
12730,10124052,10124053
6081,10124054,10124055
11202,10124056,10124057
6083,10124058,10124059
452,10124060,10124061
11206,10124062,10124063
21959,10124064,10124065
24522,10124066,10124067
6187,10124068,10124069
6099,10124070,10124071
23508,10124072,10124073
24535,10124074,10124075
1496,10124076,10124077
473,10124078,10124079
18394,10124080,10124081
20474,10124082,10124083
10210,10124084,10124085
18939,10124086,10124087
6117,10124088,10124089
26510,10124090,10124091
12786,10124092,10124093
6133,10124094,10124095
681,10124096,10124097
13817,10124098,10124100
33786,10124102,10124103
29179,10124104,10124105
13311,10124106,10124107
