12333 8801|gva-ch
1239 10333|anhnca-us
1239 10455|chi-us
1239 10507|sjc-us,mkc-us,pearlcity-us,jfk-us,ftw-us,lke-us,sck-us,mtn-us,atl-us,chi-us,wspfma-us,tcm-us,hmltnc-us,anhnca-us,orl-us,was-us,cys-us,sju-pr
1239 11030|anhnca-us
1239 11132|chi-us
1239 11140|anhnca-us
1239 11228|tyo-jp
1239 11316|atl-us
1239 11708|mkc-us
1239 11733|sck-us
1239 11830|anhnca-us
1239 12099|det-us
1239 12104|ftw-us
1239 12113|chi-us
1239 12187|jfk-us
1239 12217|jfk-us
1239 13347|anhnca-us
1239 13624|sck-us
1239 13767|ftw-us
1239 13834|atl-us
1239 14178|ftw-us
1239 14847|chi-us
1239 14961|anhnca-us
1239 15084|orl-us,cys-us
1239 15112|chi-us
1239 1647|ftw-us
1239 16539|jfk-us
1239 16565|pearlcity-us
1239 16586|atl-us,mtn-us,lke-us,jfk-us
1239 17033|pnsknj-us
1239 17347|was-us
1239 17377|rcdlin-us
1239 17903|chi-us
1239 1790|sjc-us,mkc-us,ftw-us,atl-us,chi-us,hmltnc-us,anhnca-us,was-us,cys-us
1239 18632|sck-us
1239 18685|pnsknj-us
1239 1879|sjc-us
1239 18950|was-us
1239 19002|anhnca-us
1239 19242|lke-us
1239 19357|mtn-us
1239 19409|chi-us
1239 19637|pnsknj-us
1239 19643|wspfma-us
1239 19772|chi-us
1239 19825|mkc-us
1239 20111|was-us
1239 20113|sck-us
1239 20411|pnsknj-us
1239 20426|atl-us,jfk-us
1239 21542|wspfma-us
1239 21729|rcdlin-us
1239 21733|anhnca-us
1239 21908|chi-us
1239 22082|pnsknj-us
1239 22106|ftw-us
1239 22244|hnknhk-hk
1239 22460|pnsknj-us
1239 22569|atl-us
1239 22762|cys-us
1239 22783|orl-us
1239 23003|was-us
1239 23320|mkc-us
1239 23332|was-us
1239 24304|hnknhk-hk
1239 25714|mkc-us
1239 25762|jfk-us
1239 25934|ftw-us
1239 25942|ftw-us
1239 26660|mkc-us
1239 26909|ftw-us
1239 27174|mtn-us
1239 27619|mtn-us
1239 29717|chi-us
1239 29733|pnsknj-us
1239 29823|tcm-us
1239 29915|atl-us
1239 29981|mkc-us
1239 30000|pnsknj-us
1239 30036|atl-us
1239 30385|mtn-us
1239 30435|mtn-us
1239 30565|pnsknj-us
1239 30678|ftw-us
1239 3130|lke-us
1239 32282|mkc-us
1239 32813|jfk-us
1239 32869|lke-us
1239 32908|hmltnc-us
1239 32926|wspfma-us
1239 33020|mtn-us
1239 33048|anhnca-us
1239 33217|chi-us
1239 33717|anhnca-us
1239 33730|sjc-us
1239 35952|was-us
1239 36005|ftw-us
1239 36134|ftw-us
1239 36333|hmltnc-us
1239 36488|ftw-us
1239 36603|hmltnc-us
1239 3786|sjc-us,anhnca-us
1239 394145|anhnca-us
1239 394945|lke-us
1239 395350|was-us
1239 396184|sck-us
1239 40026|mtn-us
1239 40157|rcdlin-us
1239 40274|jfk-us
1239 40354|mkc-us
1239 40370|atl-us
1239 40410|jfk-us
1239 4046|jfk-us
1239 40489|pnsknj-us
1239 4133|pnsknj-us
1239 45899|sjc-us
1239 4637|jfk-us
1239 47016|anhnca-us
1239 4837|sjc-us
1239 53380|sck-us,pnsknj-us
1239 53898|ftw-us
1239 54246|chi-us
1239 54624|mtn-us
1239 5639|jfk-us
1239 5665|pnsknj-us
1239 6316|atl-us
1239 63451|det-us
1239 7301|was-us
1239 7345|chi-us
1239 7733|anhnca-us
1239 7914|anhnca-us
1239 7923|sjc-us
1239 8151|ftw-us,anhnca-us
1239 9416|sjc-us
12496 44697|lon-gb
12615 197216|amstnl-nl
12615 198228|amstnl-nl
12615 201254|amstnl-nl
12615 29622|amstnl-nl
12615 34841|amstnl-nl
12615 38932|amstnl-nl
12615 39246|amstnl-nl
12615 39251|amstnl-nl
12615 39401|amstnl-nl
12615 39881|amstnl-nl
12615 41019|amstnl-nl
12615 42878|amstnl-nl
12615 43205|amstnl-nl
12615 44313|amstnl-nl
12615 44967|amstnl-nl
12615 47374|amstnl-nl
12615 47453|amstnl-nl
12615 48917|amstnl-nl
12615 49040|amstnl-nl
12615 50013|amstnl-nl
12615 51855|amstnl-nl
12615 56906|amstnl-nl
12615 59463|amstnl-nl
12615 60182|amstnl-nl
12615 60325|amstnl-nl
12615 62174|amstnl-nl
12732 15657|ber-de
12732 8875|ber-de
12859 286|amstnl-nl
12859 2914|amstnl-nl
12859 3257|amstnl-nl
12956 10429|sopaolo-br
12956 13335|scl-cl
12956 14259|scl-cl
12956 15133|mvd-uy,scl-cl
12956 18881|sopaolo-br
12956 19422|mvd-uy
12956 25620|lim-pe
12956 26210|lim-pe
12956 262182|scl-cl
12956 263242|lim-pe
12956 27839|lim-pe
12956 3816|bog-co
12956 6147|lim-pe
12956 6568|lim-pe
12956 7004|scl-cl
12989 11588|atl-us,phx-us
12989 11931|lax-us
12989 12041|lax-us
12989 13537|lax-us
12989 13926|jfk-us
12989 14986|lax-us
12989 17222|sopaolo-br
12989 18607|amstnl-nl
12989 19607|lon-gb,jfk-us
12989 19710|lax-us
12989 199156|fra-de,amstnl-nl
12989 20446|amstnl-nl
12989 21766|chi-us
12989 21983|lax-us
12989 22381|sopaolo-br
12989 22548|sopaolo-br
12989 22781|sfo-us
12989 23106|sopaolo-br
12989 23108|lax-us
12989 262354|sopaolo-br
12989 262413|sopaolo-br
12989 262429|sopaolo-br
12989 262454|sopaolo-br
12989 262462|sopaolo-br
12989 262518|sopaolo-br
12989 262597|sopaolo-br
12989 262632|sopaolo-br
12989 262699|sopaolo-br
12989 262706|sopaolo-br
12989 262719|sopaolo-br
12989 262743|sopaolo-br
12989 262901|sopaolo-br
12989 262981|sopaolo-br
12989 263305|sopaolo-br
12989 263444|sopaolo-br
12989 263449|sopaolo-br
12989 264005|sopaolo-br
12989 264332|sopaolo-br
12989 264492|sopaolo-br
12989 264525|sopaolo-br
12989 265187|sopaolo-br
12989 265303|sopaolo-br
12989 266480|sopaolo-br
12989 26769|dal-us,lke-us,atl-us,chi-us,lax-us,sfo-us,was-us,jfk-us
12989 27720|sopaolo-br
12989 28171|sopaolo-br
12989 28202|sopaolo-br
12989 28239|sopaolo-br
12989 28284|sopaolo-br
12989 28294|sopaolo-br
12989 28625|sopaolo-br
12989 28634|sopaolo-br
12989 28640|sopaolo-br
12989 28667|sopaolo-br
12989 29587|bru-be
12989 32590|dal-us,sopaolo-br,amstnl-nl,atl-us,chi-us,lax-us,was-us,jfk-us
12989 33438|dal-us,lke-us,atl-us,chi-us,sfo-us,was-us
12989 33724|mia-us
12989 34106|amstnl-nl
12989 3904|lax-us
12989 394506|sfo-us
12989 42473|sopaolo-br,rio-br
12989 4306|was-us
12989 46370|lax-us
12989 52551|sopaolo-br
12989 52613|sopaolo-br
12989 52640|sopaolo-br
12989 52697|sopaolo-br
12989 52721|sopaolo-br
12989 52770|sopaolo-br
12989 52840|sopaolo-br
12989 52925|sopaolo-br
12989 52937|rio-br
12989 52941|sopaolo-br
12989 53070|sopaolo-br
12989 53122|sopaolo-br
12989 53131|sopaolo-br
12989 53152|sopaolo-br
12989 53237|sopaolo-br
12989 53346|lax-us
12989 53464|lax-us
12989 53847|bru-be
12989 54104|par-fr,dal-us,sopaolo-br,fra-de,lke-us,amstnl-nl,atl-us,chi-us,lax-us,sfo-us,was-us,jfk-us
12989 54203|mia-us
12989 54818|sopaolo-br
12989 54994|dal-us,mia-us,chi-us,lke-us,amstnl-nl,atl-us,lon-gb,lax-us,sfo-us,was-us,jfk-us
12989 61584|sopaolo-br
12989 6169|was-us
12989 61808|sopaolo-br
12989 62651|was-us
12989 63403|lax-us
12989 63485|lax-us
12989 7158|lax-us
12989 7162|mia-us
13030 12337|nue-de
13030 13250|zrh-ch
13030 15479|zrh-ch
13030 15954|mad-es
13030 16111|zrh-ch
13030 16242|stglsz-ch
13030 1921|par-fr
13030 197689|zrh-ch
13030 197988|glattbrugg-ch
13030 198249|zrh-ch
13030 198288|glattbrugg-ch
13030 198968|mad-es
13030 199092|qls-ch
