1239 10405|mkc-us
1239 10507|wspfma-us,sjc-us,pearlcity-us,sju-pr,sck-us,lke-us,ftw-us,mkc-us,atl-us,chi-us,mtn-us,tcm-us,hmltnc-us,jfk-us,orl-us,was-us,cys-us,anhnca-us
1239 11228|mtn-us
1239 11676|cys-us
1239 13462|jfk-us
1239 13767|ftw-us
1239 16586|lke-us
1239 23472|sjc-us
1239 3786|sjc-us
1239 7738|jfk-us
12859 286|amstnl-nl
12859 2914|amstnl-nl
12859 3257|amstnl-nl
12859 6939|amstnl-nl
12956 10429|sopaolo-br
12956 13335|scl-cl
12956 15133|mvd-uy,scl-cl
12956 18881|sopaolo-br
12956 22047|scl-cl
12956 25620|lim-pe
12956 262182|scl-cl
12956 27839|lim-pe
12956 6147|lim-pe
12956 7004|scl-cl
12989 11588|atl-us,phx-us
12989 12041|lax-us
12989 13926|jfk-us
12989 17222|sopaolo-br
12989 20446|fra-de,amstnl-nl
12989 21766|chi-us
12989 22381|sopaolo-br
12989 22548|sopaolo-br
12989 22781|sfo-us
12989 262354|sopaolo-br
12989 262454|sopaolo-br
12989 262462|sopaolo-br
12989 262699|sopaolo-br
12989 262706|sopaolo-br
12989 262719|sopaolo-br
12989 262743|sopaolo-br
12989 262981|sopaolo-br
12989 263444|sopaolo-br
12989 263449|sopaolo-br
12989 264005|sopaolo-br
12989 264525|sopaolo-br
12989 265187|sopaolo-br
12989 266480|sopaolo-br
12989 26769|dal-us,lke-us,atl-us,chi-us,lax-us,sfo-us,was-us,jfk-us
12989 27720|sopaolo-br
12989 28171|sopaolo-br
12989 28202|sopaolo-br
12989 28239|sopaolo-br
12989 28284|sopaolo-br
12989 28294|sopaolo-br
12989 28625|sopaolo-br
12989 28640|sopaolo-br
12989 28667|sopaolo-br
12989 32590|dal-us,sopaolo-br,amstnl-nl,atl-us,chi-us,lax-us,jfk-us
12989 33438|dal-us,lke-us,atl-us,chi-us,lax-us,was-us
12989 33724|mia-us
12989 34106|amstnl-nl
12989 394506|sfo-us
12989 42473|sopaolo-br,rio-br
12989 52551|sopaolo-br
12989 52613|sopaolo-br
12989 52697|sopaolo-br
12989 52770|sopaolo-br
12989 52840|sopaolo-br
12989 52925|sopaolo-br
12989 52937|rio-br
12989 52941|sopaolo-br
12989 53070|sopaolo-br
