"Organisation"	"Peering Contact"	"Switch"	"AS number"	"LAN"	"ISP (v4)"	"ISP (v6)"	"Multicast"	"MDX"	"Peers with route server"	"Location"	"Connection"	"Policy"	"Speed"
"1&1 Internet AG"	"peering@1und1.de"	"PXC-NIK-116"	"8560"	"ISP"	"80.249.208.220"	"2001:7f8:1::a500:8560:1"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"23media GmbH"	"peering@23media.de"	"mym6-phys-4165"	"47447"	"ISP"	"80.249.213.56"	"2001:7f8:1::a504:7447:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"2GE"
"2AT B.V."	"peering@2at.nl"	"EDGE-SAR-010"	"197219"	"ISP"	"80.249.208.143"	"2001:7f8:1:0:a500:19:7219:1"	"no"	"no"	"yes"	"Interxion Science Park"	"SX"	"case-by-case"	"1GE"
"31173 Services AB"	"peering@31173.se"	"PXC-TC6-164"	"39351"	"ISP"	"80.249.213.131"	"2001:7f8:1::a503:9351:1"	"no"	"no"	"yes"	"Equinix AM6"	"LR"	"open"	"10GE"
"3P System Srl"	"peering@3psystem.net"	"mym6-phys-3840"	"199837"	"ISP"	"80.249.212.26"	"2001:7f8:1:0:a500:19:9837:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"1FE"
"3T COM"	"admin@3tcom.net"	"mym6-phys-3682-3333"	"51555"	"ISP"	"80.249.212.45"	"2001:7f8:1::a505:1555:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"2FE"
"A2B Internet"	"peering@a2b-internet.com"	"PXC-NIK-146"	"51088"	"ISP"	"80.249.208.209"	"2001:7f8:1::a505:1088:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Abavia S.r.l."	"peering@abavia.com"	"PXC-IXN-161"	"48345"	"ISP"	"80.249.213.138"	"2001:7f8:1::a504:8345:3"	"no"	"no"	"yes"	"InterXion"	"LR4"	"case-by-case"	"100GE"
"Absolute Connections, LLC"	"martin@acnetworking.net"	"mym6-phys-3406"	"395561"	"ISP"	"80.249.213.130"	"2001:7f8:1:0:a500:39:5561:1"	"no"	"no"	"no"	"Equinix AM7"	""	"open"	"1GE"
"Adeli"	"peering@adeli.fr"	"mym6-phys-2090"	"43142"	"ISP"	"80.249.210.190"	"2001:7f8:1::a504:3142:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1FE"
"Adobe Systems"	"peering@adobe.com"	"PXC-EQX-154"	"15224"	"ISP"	"80.249.208.61"	""	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Adobe Systems"	"peering@adobe.com"	"PXC-EQX-154"	"15224"	"ISP"	"80.249.211.60"	""	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Advania hf."	"peering@advania.is"	"PXC-TC5-151"	"30818"	"ISP"	"80.249.211.108"	"2001:7f8:1::a503:818:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
