"short_name","website","asn","peering_policy","ipv4_address","ipv6_address","mac_addresses","site_name","port_ref","port_type_desc","port_speed","service_type","multicast","network","membership_type"
"013 Netvision Ltd","http://www.013netvision.net.il","1680","Selective","195.66.225.87","2001:7f8:4::690:1","4055.3946.7ee1","Telecity Harbour exchange 8 - 9","edge4-tch xe-4/1/4","10G","10000","Regular","No","London Juniper","full"
"013 Netvision Ltd","http://www.013netvision.net.il","1680","Selective","195.66.225.87","2001:7f8:4::690:1","4055.3946.7ee1","Telecity Harbour exchange 8 - 9","edge4-tch xe-3/3/5","10G","10000","Regular","No","London Juniper","full"
"1&1 Internet SE","http://www.1und1.de/","8560","Open","195.66.236.98","2001:7f8:4:1::2170:1","f01c.2d7d.2903","Equinix LD4/LD5 (Slough)","switch52 3/12","10G","10000","Regular","No","London Extreme","full"
"1&1 Internet SE","http://www.1und1.de/","8560","Open","195.66.224.98","2001:7f8:4::2170:1","001b.ede5.f161","Telehouse North","edge2-thn xe-3/1/0","10G","10000","Regular","No","London Juniper","full"
"1&1 Internet SE","http://www.1und1.de/","8560","Open","195.66.224.98","2001:7f8:4::2170:1","001b.ede5.f161","Telehouse North","edge2-thn xe-2/2/0","10G","10000","Regular","No","London Juniper","full"
"100 Percent IT","http://www.100percentit.com","20915","Open","195.66.225.213","2001:7f8:4::51b3:1","dc38.e1a7.2068","Telehouse North","edge1-thn ge-8/0/1","1000","1000","Regular","No","London Juniper","full"
"23media GmbH","http://www.23media.de","47447","Open","195.66.227.70","2001:7f8:4::b957:1","8071.1f8f.0ff0","Telehouse North","edge5-thn VLAN: 397","ConneXions","2000","ConneXions","No","London Juniper","full"
"2Connect","http://www.2connectbahrain.com/","51406","Selective","195.66.225.145","2001:7f8:4::c8ce:1","a44c.118e.3381","Telehouse North","edge4-thn ge-7/0/7","1000","1000","Regular","No","London Juniper","full"
"34SP.com Ltd","http://www.34sp.com/","41357","Open","195.66.244.35","2001:7f8:4:2::a18d:1","4c5e.0c25.7d0a","Telecity Manchester 1 (Williams House)","edge1-tcw.man1 VLAN: 2188","ConneXions","100","ConneXions","No","IXManchester","full"
"4D Data Centres Ltd","http://www.4d-dc.com","31463","Open","195.66.237.215","2001:7f8:4:1::7ae7:1","6c9c.ed7c.d183","Telehouse East","switch35 27","1000","1000","Regular","No","London Extreme","full"
"4D Data Centres Ltd","http://www.4d-dc.com","31463","Open","195.66.225.215","2001:7f8:4::7ae7:1","78ba.f939.faaa","Telehouse North","edge3-thn xe-4/2/1","10G","10000","Regular","No","London Juniper","full"
"Academia Ltd","http://www.academia.co.uk","47704","Open","195.66.226.72","","cce1.7f7c.dec0","Telehouse North","edge1-thn ge-7/3/0","1000","1000","Regular","No","London Juniper","full"
"Academia Ltd","http://www.academia.co.uk","47704","Open","195.66.238.72","","cce1.7f7c.afc0","Telehouse North","switch31 0/36","1000","1000","Regular","No","London Extreme","full"
"Access UK Ltd","","50292","Open","195.66.225.130","2001:7f8:4::c474:1","001c.b0ca.4880","Telehouse West","edge1-thw ge-8/0/3","1000","1000","Regular","No","London Juniper","full"
"Acme Internet Ltd","http://www.acme.net.uk/","51603","Open","195.66.225.59","2001:7f8:4::c993:1","b827.ebbc.3106","Telehouse North","edge3-thn VLAN: 1102","ConneXions","1000","ConneXions","No","London Juniper","full"
"Acme Internet Ltd","http://www.acme.net.uk/","51603","Open","195.66.237.59","2001:7f8:4:1::c993:1","b827.ebbc.310a","Telehouse North","switch65 VLAN: 1202","ConneXions","1000","ConneXions","No","London Extreme","full"
"Adista","http://www.adista.fr","16347","Selective","195.66.226.104","2001:7f8:4::3fdb:1","10f3.1166.4ed2","Telehouse North","edge1-thn VLAN: 1503","ConneXions","1000","ConneXions","No","London Juniper","full"
